code	name	price	type	ref	cs
2381	Шапка Лыжница	4190	99	http://shapka-moda.ru/images/product/s/114980695b.jpg	7625BA96FDED882126F85EB1D99A59B5
2382	Шапка Сноп	3490	99	http://shapka-moda.ru/images/product/s/11499eef23.jpg	34C71F2F7EA1A78551B933196DBA6261
2383	Шапка Сноп	3490	99	http://shapka-moda.ru/images/product/s/1150066940.jpg	8D4489BE522E719E7E424D17046A51D7
2384	Шапка Кошка	3490	99	http://shapka-moda.ru/images/product/s/11501a4402.jpg	5E495E95EE1C75937BE3BC9ED5A25EEC
2385	Шапка Кошка	3490	99	http://shapka-moda.ru/images/product/s/11502c82dc.jpg	6A5D2FC8F423315B50D45E748B487C0F
2386	Шапка Кошка	3490	99	http://shapka-moda.ru/images/product/s/11503722c2.jpg	093C42BC279E7263B37F441F17FB2A6D
2387	Шапка Мандарин	5190	99	http://shapka-moda.ru/images/product/s/11504616d1.jpg	E20FBAF3C0DDCD8E7450D9CD08F623B6
2388	Шапка Мандарин	5190	99	http://shapka-moda.ru/images/product/s/115052b57f.jpg	FCE7FD804C06977AAB28559D34FB44C2
2389	Шапка Мандарин	5190	99	http://shapka-moda.ru/images/product/s/1150666261.jpg	2716C64F44CA39739324378364520E8E
2390	Шапка Мандарин	5490	99	http://shapka-moda.ru/images/product/s/1150704d1b.jpg	A3ED3E5F6C5773008C3972EA378DB965
2391	Шапка Юлия	5490	99	http://shapka-moda.ru/images/product/s/11508a5481.jpg	45E8143A2CDFE7E8831C3BFA775DFB0C
2392	Шапка Юлия	5490	99	http://shapka-moda.ru/images/product/s/11509a5f81.jpg	CC8ADB4C21C25D9C7CB62B4F433C06F9
2393	Шапка Жанна	5490	99	http://shapka-moda.ru/images/product/s/115101c4e7.jpg	6310AC03287560CB2D1DDDF7BE47E644
2394	Шапка Виноград	3490	99	http://shapka-moda.ru/images/product/s/11511ee9dd.jpg	24E6AB6708CB671D16C8069F72A76176
2395	Шапка Виноград	3490	99	http://shapka-moda.ru/images/product/s/1151242478.jpg	A2ED90A8C12581BA9104FCAEEBB8F9D3
2396	Шапка Виноград	3490	99	http://shapka-moda.ru/images/product/s/11513c3d4c.jpg	2B5DBEF82FC4AA8DADDD33EB67BF7CB9
2397	Шапка Виноград	3490	99	http://shapka-moda.ru/images/product/s/11514751b3.jpg	517BE516C6859DB10282137CEFF009B0
2398	Шапка Виноград	3490	99	http://shapka-moda.ru/images/product/s/115150e5ba.jpg	2E92E4714C762D9DF864EE772845B545
2399	Шапка Пион	6390	99	http://shapka-moda.ru/images/product/s/11516bdf98.jpg	DA0536E9FC397DD8475AEDC9198974C2
2400	Шапка Листик	6390	99	http://shapka-moda.ru/images/product/s/11517c8db8.jpg	AB07EE0B0E29D19E0808020D89A64D3B
2401	Шапка Вера	6390	99	http://shapka-moda.ru/images/product/s/11518878bf.jpg	EF706DA0431479E60BCC414CEFC94D0D
2403	Шапка Ева	6890	99	http://shapka-moda.ru/images/product/s/115205234b.jpg	A2CFB3182F14FA288B5A752A81CB0B88
2402	Шапка Ксения	6390	99	http://shapka-moda.ru/images/product/s/115195ade6.jpg	97A7FE13AD6A1E91331FE9AED6CF2034
2404	Шапка Милана	6390	99	http://shapka-moda.ru/images/product/s/1152175b70.jpg	23EF6BA664E22F1792036D3F1F2091EC
2405	Шапка Мила	6390	99	http://shapka-moda.ru/images/product/s/11522aa7b7.jpg	27940656AA66521EF705707A1E043754
2406	Шапка Мила	6690	99	http://shapka-moda.ru/images/product/s/1152343ba9.jpg	9C1E4D08F131202675FCBB237A800B25
2407	Шапка Кошка-бант	5990	99	http://shapka-moda.ru/images/product/s/1152438f73.jpg	4F9D0D324260EE4CD2E3F64231977472
2408	Шапка Кошка Сандра	5990	99	http://shapka-moda.ru/images/product/s/11525465f6.jpg	1AEAD649CC6D0F2A598524729719AA94
2409	Шапка Париж	6390	99	http://shapka-moda.ru/images/product/s/11526b9d35.jpg	2C4C675D8F4FF03D8CAF88EAA06A5856
2410	Шапка Глория	6390	99	http://shapka-moda.ru/images/product/s/11527b37fa.jpg	79632F01A72BD9A30E5AA5089E778790
2411	Шапка Мила	8090	99	http://shapka-moda.ru/images/product/s/11528ed0ce.jpg	3B36B75C1C0F3DEB47C14251E78E8D58
2412	Шапка Мила	8090	99	http://shapka-moda.ru/images/product/s/11529eb1d0.jpg	3B36B75C1C0F3DEB47C14251E78E8D58
2413	Шапка Мила	8090	99	http://shapka-moda.ru/images/product/s/115302f702.jpg	7A30EA359B61BD8B9B8A0AD6914EAEDA
2414	Шапка Мила	8090	99	http://shapka-moda.ru/images/product/s/11531e28d0.jpg	3F956325C72B6D3CC8EAE72D14446BE1
2415	Шапка Лопата	9790	99	http://shapka-moda.ru/images/product/s/11532843e4.jpg	15855713F187EC5D969F5DED8AEA8CBC
2416	Шапка Лопата	9790	99	http://shapka-moda.ru/images/product/s/115332167b.jpg	3F1783DCB8F28440F56890500C00A6CC
2417	Шапка Лопата	9790	99	http://shapka-moda.ru/images/product/s/1153439c9f.jpg	7A5FC98D2801CA63AB5144C20025732A
2418	Шапка Листик	9790	99	http://shapka-moda.ru/images/product/s/11535d7927.jpg	4D5623D9435350105877B2E096AFBE63
2419	Шапка Листик	9790	99	http://shapka-moda.ru/images/product/s/115362fde0.jpg	BB1D92CBF4213D68561DEC3227EF4440
2420	Шапка Листик	9790	99	http://shapka-moda.ru/images/product/s/115375f9de.jpg	09B97F1603DDC61D9010935ABAAED4D2
2421	Шапка Листик	9790	99	http://shapka-moda.ru/images/product/s/1153848898.jpg	033FEC82E0C415516FB50FE346641FAA
2422	Шапка Берет с каракулем	7190	99	http://shapka-moda.ru/images/product/s/1153961fd1.jpg	0D25F5BBD2B3C70629BF2D723436223B
2423	Шапка Ольга	9790	99	http://shapka-moda.ru/images/product/s/11540012c8.jpg	173CFF6F26EF310AF5B54716F0F907EF
2424	Шапка Ольга	9790	99	http://shapka-moda.ru/images/product/s/1154155a1c.jpg	F83EBDBEBB44FA851983F6E74D8A5E9C
2425	Шапка Ольга	9790	99	http://shapka-moda.ru/images/product/s/11542a5663.jpg	A4246EFC7F020EDC537FEA81CDB6A94E
2426	Шапка Капор	6390	99	http://shapka-moda.ru/images/product/s/11543219ad.jpg	DA80D06432796434E2430DB778437593
2427	Шапка Капор	6390	99	http://shapka-moda.ru/images/product/s/11544403f1.jpg	BD413C0751493BE0D9BFCE41364DEEF5
2428	Шапка Капор	6390	99	http://shapka-moda.ru/images/product/s/1154517ff7.jpg	862B36D4BE0909D65773AEBD29D2EC2F
2429	Шапка Капор	6390	99	http://shapka-moda.ru/images/product/s/115469fd96.jpg	7E935D3EC23A6059F7B340D6DF68ED0B
2430	Шапка Труба	6390	99	http://shapka-moda.ru/images/product/s/115478cd4f.jpg	FAE9B675E804720EE3ED1C6495D3B42F
2431	Шапка Труба	6390	99	http://shapka-moda.ru/images/product/s/11548cb229.jpg	B324C767C412F448DC3A16487275E4DA
2432	Шапка Труба	6390	99	http://shapka-moda.ru/images/product/s/115496f85f.jpg	24A7C3A386F83BE710C8D63FF2D3A42D
2433	Шапка Труба	6390	99	http://shapka-moda.ru/images/product/s/11550bf52c.jpg	A1CD71629EE93142E2F33437694818F0
2434	Шапка Труба	6390	99	http://shapka-moda.ru/images/product/s/1155188aa5.jpg	23D4A02C6F05857717849CE0A7028E1F
2435	Шапка Капюшон поперечный	10990	99	http://shapka-moda.ru/images/product/s/115521c7bf.jpg	08F5869E2CE70F1F1C56E21B38972A46
2436	Шапка Капюшон поперечный	10990	99	http://shapka-moda.ru/images/product/s/1155349753.jpg	B5A91909EF3830EA27B6BB2E3E1A89F2
2437	Шапка Капюшон поперечный	10990	99	http://shapka-moda.ru/images/product/s/11554ade92.jpg	07BC04D829226C72CA570A17428E9F98
2438	Шапка Капюшон поперечный	10990	99	http://shapka-moda.ru/images/product/s/11555a2990.jpg	6BCF34EE3358D20A503E14BC2B7B6B2E
2439	Шапка Паук	9790	99	http://shapka-moda.ru/images/product/s/11556048ab.jpg	5D365E39AC82A6B802D85F67FC5A7617
2440	Шапка Паук	10590	99	http://shapka-moda.ru/images/product/s/115573a127.jpg	1C69F6DFCF92343D94AC17AEE050E214
2441	Шапка Капюшон Роза	9790	99	http://shapka-moda.ru/images/product/s/115586085d.jpg	FFEB2E91063291A5E7F356C956056CD0
2442	Капюшон Роза	10590	99	http://shapka-moda.ru/images/product/s/1155923761.jpg	5249AD854790994237B526E83D367872
2443	Капюшон Роза	10590	99	http://shapka-moda.ru/images/product/s/115602048d.jpg	61F49C6F79EDA027A83A22BE6029FF8B
2444	Шапка Повязка	2790	99	http://shapka-moda.ru/images/product/s/1156109ee8.jpg	CB63DBF339F18786179D3E844F73EE27
